order_id,order_timestamp,restaurant_name,order_value,delivery_time_mins,distance_km,is_on_time
ORD-1145,2026-08-04 07:43,Pizza Palace,76.87,28,0.9,1
ORD-1146,2026-08-03 16:21,Burger Club,33.39,38,1.7,0
ORD-1147,2026-08-01 09:53,Wrap World,59.59,12,4.8,1
ORD-1148,2026-08-06 06:36,Burger Club,39.29,30,14.3,1
ORD-1149,2026-08-05 06:16,Wrap World,76.37,38,0.9,0
ORD-1150,2026-08-02 23:36,Pasta Point,32.09,47,10.9,0
ORD-1151,2026-08-05 00:26,Curry House,10.1,19,9.4,1
ORD-1152,2026-08-02 23:52,Taco Town,31.48,14,10.6,1
ORD-1153,2026-08-04 17:44,Wrap World,41.81,58,7.9,0
ORD-1154,2026-08-03 15:11,Pasta Point,8.77,58,1.6,0
ORD-1155,2026-08-03 05:36,BBQ Nation,26.56,55,9.5,0
ORD-1156,2026-08-03 06:13,BBQ Nation,26.57,27,7.4,1
ORD-1157,2026-08-04 19:10,Taco Town,12.61,16,12.1,1
ORD-1158,2026-08-03 15:57,Taco Town,74.47,39,5.9,0
ORD-1159,2026-08-02 13:39,Taco Town,11.57,26,14.3,1
ORD-1160,2026-08-04 10:30,Burger Club,10.45,40,8.7,0
ORD-1161,2026-08-04 14:22,Sushi Hub,73.46,17,8.9,1
ORD-1162,2026-08-02 11:24,Burger Club,43.55,24,3.6,1
ORD-1163,2026-08-04 21:40,Curry House,51.59,19,3,1
ORD-1164,2026-08-04 23:58,Taco Town,16.58,10,10.7,1
ORD-1165,2026-08-01 21:12,Taco Town,60.33,27,8,1
ORD-1166,2026-08-05 20:18,Pasta Point,49.1,15,6.3,1
ORD-1167,2026-08-01 20:50,Burger Club,77.6,25,13.7,1
ORD-1168,2026-08-02 15:09,Sushi Hub,73.6,18,11.6,1
ORD-1169,2026-08-06 07:26,Taco Town,63.67,12,2.7,1
ORD-1170,2026-08-02 21:01,Pizza Palace,46.82,24,9.5,1
ORD-1171,2026-08-01 16:52,Taco Town,26.68,50,13.9,0
ORD-1172,2026-08-05 05:46,Pasta Point,16.16,50,8.9,0
ORD-1173,2026-08-03 00:45,Pasta Point,70.96,32,3.5,0
ORD-1174,2026-08-02 16:05,Burger Club,74.81,15,2.5,1
ORD-1175,2026-08-06 02:37,Taco Town,47.4,30,4.3,1
ORD-1176,2026-08-05 16:56,Wrap World,62.14,57,3.3,0
ORD-1177,2026-08-02 16:55,Pizza Palace,44.13,50,3.5,0
ORD-1178,2026-08-03 20:57,Sushi Hub,36.83,58,2.5,0
ORD-1179,2026-08-02 00:51,Burger Club,36.8,37,2.8,0
ORD-1180,2026-08-01 14:44,Wrap World,26.68,43,5.2,0
ORD-1181,2026-08-05 05:53,Sushi Hub,29.05,56,6.4,0
ORD-1182,2026-08-04 04:01,Curry House,73.76,60,2.6,0
ORD-1183,2026-08-03 03:26,Pizza Palace,8.83,33,8.7,0
ORD-1184,2026-08-02 11:07,Taco Town,38.06,52,13.7,0
ORD-1185,2026-08-03 13:13,Sushi Hub,7.67,54,5.6,0
ORD-1186,2026-08-04 22:24,BBQ Nation,24.07,40,14.9,0
ORD-1187,2026-08-01 17:57,Wrap World,70.52,32,13.1,0
ORD-1188,2026-08-01 09:53,Taco Town,10.3,31,1.4,0
ORD-1189,2026-08-02 16:27,Pasta Point,57.2,24,4.3,1
ORD-1190,2026-08-02 13:50,Pasta Point,70.19,33,1.1,0
ORD-1191,2026-08-04 02:39,Sushi Hub,9.59,46,7.1,0
ORD-1192,2026-08-05 16:32,Sushi Hub,61.67,13,8.4,1
ORD-1193,2026-08-02 08:01,Sushi Hub,67.06,46,0.8,0
ORD-1194,2026-08-05 12:32,Taco Town,41.39,46,14.6,0
ORD-1195,2026-08-03 15:33,Burger Club,22.7,60,14.2,0
ORD-1196,2026-08-01 14:45,Curry House,14.64,15,9.7,1
ORD-1197,2026-08-01 23:14,Taco Town,72.59,48,11.5,0
ORD-1198,2026-08-02 05:03,BBQ Nation,42.19,60,7.2,0
ORD-1199,2026-08-02 04:57,BBQ Nation,17,42,14.1,0
ORD-1200,2026-08-04 06:43,Curry House,19.69,35,10.3,0
