item_id,item_name,category,quantity,length,width,height,weight,demand_frequency,priority,temperatureRequirement,fragility
ITEM-140,Canned San Marzano Tomatoes (800g),Canned Goods,55,10,10,12,0.88,330,2,Ambient,Low
ITEM-141,Canned Black Beans (400g Tin),Canned Goods,65,8,8,11,0.45,350,2,Ambient,Low
ITEM-142,Canned Chunk Light Tuna (185g),Canned Goods,80,9,9,4,0.22,390,2,Ambient,Low
ITEM-143,Creamy Peanut Butter (500g Jar),Pantry & Dry Goods,40,10,10,14,0.6,290,2,Ambient,High
ITEM-144,Rolled Oats Whole Grain (1kg Tub),Pantry & Dry Goods,35,18,18,22,1.1,310,2,Ambient,Low
ITEM-145,All-Purpose Wheat Flour (2kg Bag),Pantry & Dry Goods,30,22,14,18,2.0,340,2,Ambient,Medium
ITEM-146,Pure Maple Syrup (375ml Bottle),Pantry & Dry Goods,25,9,6,20,0.65,190,3,Ambient,High
ITEM-147,Tomato Basil Pasta Sauce (680g Jar),Pantry & Dry Goods,45,9,9,17,0.95,370,2,Ambient,High
ITEM-148,Sriracha Hot Chili Sauce (480ml),Condiments & Sauces,50,7,7,22,0.55,280,3,Ambient,Low
ITEM-149,Mayonnaise Real Squeeze Bottle (450ml),Condiments & Sauces,40,9,6,19,0.5,310,2,Ambient,Low
ITEM-150,Traditional Hummus Dip (250g Tub),Deli & Prepared,30,12,12,6,0.28,290,1,Chilled,Medium
ITEM-151,Fresh Guacamole Original (200g),Deli & Prepared,25,12,12,5,0.22,260,1,Chilled,Medium
ITEM-152,Smoked Turkey Breast Slices (200g),Deli & Prepared,35,20,14,3,0.22,310,1,Chilled,Low
ITEM-153,Dark Chocolate 70% Bar (100g),Bakery & Snacks,75,16,8,1,0.1,330,3,Ambient,Medium
ITEM-154,Organic Honey Clover (500g Squeeze),Pantry & Dry Goods,30,8,6,16,0.55,220,3,Ambient,Low
ITEM-155,Frozen Veggie Burger Patties (4-pack),Frozen & Ice Cream,25,15,15,8,0.45,200,2,Frozen,Medium
